id;ear_tag_id;name;visibility;up_for_sale;show_blup;alert;story_handle
1;60464;Stream;ROLE_ANONYMOUS;false;true;true;Metal Ameliorated Health
2;9254;Toys turquoise;ROLE_ADMIN;true;false;false;Credit Card Account Steel eyeballs
3;53005;6th generation monitoring;ROLE_ANONYMOUS;false;false;true;Personal Loan Account
4;48138;hacking;ROLE_ADMIN;false;true;true;migration withdrawal AI
5;20897;tan Oregon;ROLE_ANONYMOUS;true;true;true;1080p violet
6;35562;focus group Alaska quantify;ROLE_USER;false;false;true;compressing
7;63155;Chief;ROLE_ADMIN;true;true;false;invoice
8;57303;AGP Mauritania;ROLE_ADMIN;false;false;true;Plastic
9;70936;Practical Home Loan Account Montserrat;ROLE_ADMIN;true;false;true;reboot Cayman Islands
10;48592;Auto Loan Account withdrawal calculating;ROLE_ADMIN;true;false;true;bluetooth Synergistic
